year,county,stage,station_id,yield_bu_acre,acres_planted,acres_harvested,production_bu,harvest_efficiency,opt_temp_min,opt_temp_max,opt_precip,stage_duration_days,stage_start_date,stage_end_date,days_with_data,expected_days,data_completeness,PRCP_total,PRCP_avg,PRCP_max,TAVG_avg,TMAX_avg,TMIN_avg,TMAX_max,TMIN_min,SNOW_total,SNWD_avg,SNWD_max,AWND_avg,WT03_count,WT05_count,WT10_count,WT11_count,temp_deviation,temp_stress_indicator,cold_stress_flag,heat_stress_flag,precip_deviation,drought_risk_flag,flood_risk_flag,water_stress_indicator,total_extreme_weather_days,hail_events,tornado_events,high_wind_events,thunder_events,critical_hail_reproductive,GDD
2019,CRAWFORD,vegetative,USW00014821,53.4,88000,87600,4678000,99.55,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,9.780000000000001,0.1995918367346939,2.38,74.85714285714286,84.53061224489795,65.48979591836735,93.0,47.0,0.0,0.0,0.0,7.391224489795919,12,0,0,0,49.86,1.495,0,1,90.22,1,0,0.602,12,0,0,0,12,0,37.74
2019,CRAWFORD,reproductive,USW00014821,53.4,88000,87600,4678000,99.55,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.75,0.0701219512195122,1.3,74.4390243902439,85.54878048780488,63.73170731707317,95.0,48.0,0.0,0.0,0.0,6.901707317073171,12,0,0,0,49.44,1.659,0,1,119.25,1,0,0.654,12,0,0,0,12,0,36.87
2019,DARKE,germination,USW00093815,47.0,150000,149100,7006000,99.4,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,4.19,0.18217391304347827,1.26,65.69565217391305,75.08695652173913,56.73913043478261,88.0,42.0,0.0,0.0,0.0,9.64782608695652,9,0,0,0,48.2,2.285,0,1,45.81,1,0,0.616,9,0,0,0,9,0,33.37
2019,DARKE,vegetative,USW00093815,47.0,150000,149100,7006000,99.4,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,7.55,0.1540816326530612,1.52,74.44897959183673,84.06122448979592,65.77551020408163,93.0,50.0,0.0,0.0,0.0,8.65530612244898,16,1,0,0,49.45,1.482,0,1,92.45,1,0,0.624,17,1,0,0,16,0,37.89
2019,DARKE,reproductive,USW00093815,47.0,150000,149100,7006000,99.4,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,4.23,0.05158536585365854,1.86,73.0,84.09756097560975,62.28048780487805,94.0,44.0,0.0,0.0,0.0,7.802073170731706,10,0,0,0,48.0,1.607,0,1,120.77,1,0,0.666,10,0,0,0,10,0,36.14
2019,DELAWARE,germination,USW00014821,42.5,63500,63200,2688000,99.53,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,3.6599999999999997,0.1591304347826087,1.35,67.0,76.56521739130434,57.82608695652174,88.0,41.0,0.0,0.0,0.0,8.169565217391304,6,0,0,0,49.5,2.35,0,1,46.34,1,0,0.627,6,0,0,0,6,0,33.91
2019,DELAWARE,vegetative,USW00014821,42.5,63500,63200,2688000,99.53,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,9.780000000000001,0.1995918367346939,2.38,74.85714285714286,84.53061224489795,65.48979591836735,93.0,47.0,0.0,0.0,0.0,7.391224489795919,12,0,0,0,49.86,1.495,0,1,90.22,1,0,0.602,12,0,0,0,12,0,37.74
2019,DELAWARE,reproductive,USW00014821,42.5,63500,63200,2688000,99.53,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.75,0.0701219512195122,1.3,74.4390243902439,85.54878048780488,63.73170731707317,95.0,48.0,0.0,0.0,0.0,6.901707317073171,12,0,0,0,49.44,1.659,0,1,119.25,1,0,0.654,12,0,0,0,12,0,36.87
2019,ERIE,germination,USW00014820,51.5,34500,34300,1766000,99.42,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,2.46,0.10695652173913044,0.91,,75.52173913043478,55.04347826086956,88.0,40.0,0.0,,,8.276956521739132,8,0,0,0,,,0,0,47.54,1,0,0.651,8,0,0,0,8,0,32.52
2019,ERIE,vegetative,USW00014820,51.5,34500,34300,1766000,99.42,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,7.6,0.15510204081632653,1.02,,83.40816326530613,63.857142857142854,93.0,47.0,0.0,,,7.285714285714286,14,0,0,0,,,0,0,92.4,1,0,0.624,14,0,0,0,14,0,36.93
2019,ERIE,reproductive,USW00014820,51.5,34500,34300,1766000,99.42,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.59,0.06817073170731708,1.18,,82.78048780487805,60.048780487804876,93.0,42.0,0.0,,,6.598658536585366,9,0,0,0,,,0,0,119.41,1,0,0.655,9,0,0,0,9,0,35.02
2019,FAIRFIELD,germination,USW00014821,53.8,67000,66700,3587000,99.55,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,3.6599999999999997,0.1591304347826087,1.35,67.0,76.56521739130434,57.82608695652174,88.0,41.0,0.0,0.0,0.0,8.169565217391304,6,0,0,0,49.5,2.35,0,1,46.34,1,0,0.627,6,0,0,0,6,0,33.91
2019,FAIRFIELD,vegetative,USW00014821,53.8,67000,66700,3587000,99.55,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,9.780000000000001,0.1995918367346939,2.38,74.85714285714286,84.53061224489795,65.48979591836735,93.0,47.0,0.0,0.0,0.0,7.391224489795919,12,0,0,0,49.86,1.495,0,1,90.22,1,0,0.602,12,0,0,0,12,0,37.74
2019,FAIRFIELD,reproductive,USW00014821,53.8,67000,66700,3587000,99.55,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.75,0.0701219512195122,1.3,74.4390243902439,85.54878048780488,63.73170731707317,95.0,48.0,0.0,0.0,0.0,6.901707317073171,12,0,0,0,49.44,1.659,0,1,119.25,1,0,0.654,12,0,0,0,12,0,36.87
2019,FAYETTE,germination,USW00014821,51.9,109500,109000,5656000,99.54,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,3.6599999999999997,0.1591304347826087,1.35,67.0,76.56521739130434,57.82608695652174,88.0,41.0,0.0,0.0,0.0,8.169565217391304,6,0,0,0,49.5,2.35,0,1,46.34,1,0,0.627,6,0,0,0,6,0,33.91
2019,FAYETTE,vegetative,USW00014821,51.9,109500,109000,5656000,99.54,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,9.780000000000001,0.1995918367346939,2.38,74.85714285714286,84.53061224489795,65.48979591836735,93.0,47.0,0.0,0.0,0.0,7.391224489795919,12,0,0,0,49.86,1.495,0,1,90.22,1,0,0.602,12,0,0,0,12,0,37.74
2019,FAYETTE,reproductive,USW00014821,51.9,109500,109000,5656000,99.54,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.75,0.0701219512195122,1.3,74.4390243902439,85.54878048780488,63.73170731707317,95.0,48.0,0.0,0.0,0.0,6.901707317073171,12,0,0,0,49.44,1.659,0,1,119.25,1,0,0.654,12,0,0,0,12,0,36.87
2019,FULTON,germination,USW00014838,50.5,66000,65600,3316000,99.39,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,2.51,0.10913043478260868,0.94,66.26086956521739,76.17391304347827,56.21739130434783,90.0,42.0,0.0,0.0,0.0,8.004782608695654,8,0,0,0,48.76,2.313,0,1,47.49,1,0,0.65,8,0,0,0,8,0,33.11
2019,FULTON,vegetative,USW00014838,50.5,66000,65600,3316000,99.39,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,9.35,0.19081632653061223,2.65,74.24489795918367,84.12244897959184,65.14285714285714,94.0,48.0,0.0,0.0,0.0,7.198775510204082,15,0,0,0,49.24,1.475,0,1,90.65,1,0,0.606,15,0,0,0,15,0,37.57
2019,FULTON,reproductive,USW00014838,50.5,66000,65600,3316000,99.39,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.300000000000001,0.06463414634146342,0.76,72.63414634146342,84.0,61.829268292682926,94.0,44.0,0.0,0.0,0.0,6.52548780487805,17,0,0,0,47.63,1.594,0,1,119.7,1,0,0.658,17,0,0,0,17,0,35.91
2019,GREENE,germination,USW00093815,50.6,63500,63300,3204000,99.69,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,4.19,0.18217391304347827,1.26,65.69565217391305,75.08695652173913,56.73913043478261,88.0,42.0,0.0,0.0,0.0,9.64782608695652,9,0,0,0,48.2,2.285,0,1,45.81,1,0,0.616,9,0,0,0,9,0,33.37
2019,GREENE,vegetative,USW00093815,50.6,63500,63300,3204000,99.69,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,7.55,0.1540816326530612,1.52,74.44897959183673,84.06122448979592,65.77551020408163,93.0,50.0,0.0,0.0,0.0,8.65530612244898,16,1,0,0,49.45,1.482,0,1,92.45,1,0,0.624,17,1,0,0,16,0,37.89
2019,GREENE,reproductive,USW00093815,50.6,63500,63300,3204000,99.69,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,4.23,0.05158536585365854,1.86,73.0,84.09756097560975,62.28048780487805,94.0,44.0,0.0,0.0,0.0,7.802073170731706,10,0,0,0,48.0,1.607,0,1,120.77,1,0,0.666,10,0,0,0,10,0,36.14
2019,HANCOCK,germination,USW00014838,47.9,114500,113200,5423000,98.86,15,20,50,22,2019-05-10,2019-06-01,23,23,1.0,2.51,0.10913043478260868,0.94,66.26086956521739,76.17391304347827,56.21739130434783,90.0,42.0,0.0,0.0,0.0,8.004782608695654,8,0,0,0,48.76,2.313,0,1,47.49,1,0,0.65,8,0,0,0,8,0,33.11
2019,HANCOCK,vegetative,USW00014838,47.9,114500,113200,5423000,98.86,20,30,100,48,2019-06-02,2019-07-20,49,49,1.0,9.35,0.19081632653061223,2.65,74.24489795918367,84.12244897959184,65.14285714285714,94.0,48.0,0.0,0.0,0.0,7.198775510204082,15,0,0,0,49.24,1.475,0,1,90.65,1,0,0.606,15,0,0,0,15,0,37.57
2019,HANCOCK,reproductive,USW00014838,47.9,114500,113200,5423000,98.86,22,28,125,81,2019-07-21,2019-10-10,82,82,1.0,5.300000000000001,0.06463414634146342,0.76,72.63414634146342,84.0,61.829268292682926,94.0,44.0,0.0,0.0,0.0,6.52548780487805,17,0,0,0,47.63,1.594,0,1,119.7,1,0,0.658,17,0,0,0,17,0,35.91
